Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
04/02/2020,RELIANCE,EQ,1385.5,1400,1432.5,1397.8,1427.5,1426.4,1419.31,11604666,1.64706E+15,286666,5299061,0.4566
05/02/2020,RELIANCE,EQ,1426.4,1434.9,1452.8,1430.3,1446.3,1448.5,1442.46,8444823,1.21814E+15,242039,3774342,0.4469
06/02/2020,RELIANCE,EQ,1448.5,1454.1,1467,1440.1,1455,1457.8,1452.93,7103715,1.03212E+15,163247,2877846,0.4051
07/02/2020,RELIANCE,EQ,1457.8,1451,1452.35,1428.3,1432,1433.65,1437.06,5581641,8.02114E+14,134128,2493746,0.4468
10/02/2020,RELIANCE,EQ,1433.65,1428,1445.5,1410.45,1442.2,1435.6,1424.41,6922631,9.86066E+14,143055,3096467,0.4473
11/02/2020,RELIANCE,EQ,1435.6,1447.4,1466.2,1445.05,1454.5,1452.75,1457.22,6400245,9.32655E+14,224142,2779570,0.4343
12/02/2020,RELIANCE,EQ,1452.75,1456.15,1474.85,1455,1473.15,1470.3,1465.86,6187091,9.06938E+14,192511,3063711,0.4952
13/02/2020,RELIANCE,EQ,1470.3,1477.75,1477.75,1462.6,1470.45,1474.15,1470.71,6201763,9.12097E+14,116464,2969412,0.4788
14/02/2020,RELIANCE,EQ,1474.15,1477.25,1501.45,1453.1,1485.85,1487.6,1483.41,9704655,1.4396E+15,229509,3144368,0.324
17/02/2020,RELIANCE,EQ,1487.6,1489,1506.15,1474.3,1478.5,1478.25,1487.62,6011340,8.94261E+14,150631,2236062,0.372
18/02/2020,RELIANCE,EQ,1478.25,1475.9,1475.9,1457.4,1466.9,1467.4,1465.63,5086964,7.4556E+14,142911,2468083,0.4852
19/02/2020,RELIANCE,EQ,1467.4,1479.35,1506.45,1475.1,1504.5,1503.8,1497.34,6438918,9.64127E+14,249278,2453851,0.3811
20/02/2020,RELIANCE,EQ,1503.8,1497,1508,1483.8,1487,1485.95,1495.83,7722577,1.15517E+15,176470,4689093,0.6072
24/02/2020,RELIANCE,EQ,1485.95,1469.75,1477,1439.55,1447.1,1444.95,1462.78,9769743,1.4291E+15,237165,6097347,0.6241
25/02/2020,RELIANCE,EQ,1444.95,1451.4,1451.4,1410,1420,1416.4,1432.47,12684109,1.81696E+15,281387,8329207,0.6567
26/02/2020,RELIANCE,EQ,1416.4,1410,1412.35,1387.35,1389.5,1392,1399.83,13423661,1.87908E+15,268512,8145083,0.6068
27/02/2020,RELIANCE,EQ,1392,1388,1393.8,1369,1380.45,1386.25,1381.33,11454300,1.58222E+15,240043,6101634,0.5327
28/02/2020,RELIANCE,EQ,1386.25,1354.9,1357,1325,1327,1328.65,1338.96,17973847,2.40662E+15,373466,9944010,0.5532
02/03/2020,RELIANCE,EQ,1328.65,1355.1,1369,1301.1,1322,1316.15,1343.4,13486634,1.8118E+15,274282,7208383,0.5345
03/03/2020,RELIANCE,EQ,1316.15,1329.7,1353.9,1322,1346.35,1342.85,1339.28,12525809,1.67755E+15,275521,6009681,0.4798
04/03/2020,RELIANCE,EQ,1342.85,1352,1353.8,1307.9,1349,1339.7,1331.24,10105782,1.34532E+15,297606,4158028,0.4115
05/03/2020,RELIANCE,EQ,1339.7,1352.2,1357.95,1306,1309.9,1311.15,1327.07,13948324,1.85104E+15,319378,6943317,0.4978
06/03/2020,RELIANCE,EQ,1311.15,1270,1288.15,1241.1,1269.85,1271,1271.62,15422068,1.9611E+15,389652,9634796,0.6247
09/03/2020,RELIANCE,EQ,1271,1240.05,1241,1095,1104.5,1114.15,1143.56,40317808,4.6106E+15,846382,19195053,0.4761
11/03/2020,RELIANCE,EQ,1114.15,1108,1178.45,1108,1152,1153.55,1157.92,27237627,3.1539E+15,490124,12424367,0.4561
